epoch,scaling/nparams,scaling/nsamples_processed,step,train/loss_bb_ca_epoch,train/loss_bb_ca_step,train/loss_epoch,train/loss_local_latents_epoch,train/loss_local_latents_step,train/loss_step,train_fold_iter/loss_bb_ca,train_fold_iter/loss_local_latents,train_info/epoch_duration_secs,train_info/step_duration_secs,train_invfold_ca_iter/loss_bb_ca,train_invfold_ca_iter/loss_local_latents,train_loss_epoch,train_loss_step,val/loss,validation_loss/loss_bb_ca_epoch,validation_loss/loss_bb_ca_step,validation_loss/loss_epoch,validation_loss/loss_local_latents_epoch,validation_loss/loss_local_latents_step,validation_loss/loss_step,validation_loss_fold_iter/loss_bb_ca,validation_loss_fold_iter/loss_local_latents,validation_loss_invfold_ca_iter/loss_bb_ca,validation_loss_invfold_ca_iter/loss_local_latents
0,158402048.0,256.0,0,,1.340612530708313,,,13.298839569091797,14.639451026916504,,,,4.316039085388184,,,,14.639451026916504,,,,,,,,,,,
0,158402048.0,512.0,1,,1.5918899774551392,,,10.100372314453125,11.692261695861816,,,,0.7388651371002197,,,,11.692261695861816,,,,,,,,,,,
0,158402048.0,768.0,2,,1.3324460983276367,,,10.017263412475586,11.349708557128906,,,,0.5525177121162415,,,,11.349708557128906,,,,,,,,,,,
0,158402048.0,1024.0,3,,1.272796869277954,,,8.861270904541016,10.13406753540039,,,,0.9454010725021362,,,,10.13406753540039,,,,,,,,,,,
0,158402048.0,1280.0,4,,1.3426644802093506,,,8.120657920837402,9.463321685791016,,,,0.9708424806594849,,,,9.463321685791016,,,,,,,,,,,
0,158402048.0,1536.0,5,,1.3259198665618896,,,7.138428688049316,8.464348793029785,,,,1.5122922658920288,,,,8.464348793029785,,,,,,,,,,,
0,158402048.0,1792.0,6,,1.310646891593933,,,6.875096321105957,8.18574333190918,,,,1.9298179149627686,,,,8.18574333190918,,,,,,,,,,,
0,158402048.0,2048.0,7,,1.294062852859497,,,6.703315258026123,7.997378349304199,,,,0.6416409611701965,,,,7.997378349304199,,,,,,,,,,,
0,158402048.0,2304.0,8,,1.2159687280654907,,,6.073454856872559,7.28942346572876,,,,1.310753583908081,,,,7.28942346572876,,,,,,,,,,,
0,158402048.0,2560.0,9,,1.0780919790267944,,,5.882129669189453,6.960221290588379,,,,0.7049154043197632,,,,6.960221290588379,,,,,,,,,,,
0,158402048.0,2816.0,10,,1.0147056579589844,,,5.681158542633057,6.695863723754883,,,,0.6163254976272583,,,,6.695863723754883,,,,,,,,,,,
0,158402048.0,3072.0,11,,1.01723313331604,,,5.624457359313965,6.641691207885742,,,,1.1595985889434814,,,,6.641691207885742,,,,,,,,,,,
0,158402048.0,3328.0,12,,0.9918174743652344,,,4.982774257659912,5.974591255187988,,,,0.7503829002380371,,,,5.974591255187988,,,,,,,,,,,
0,158402048.0,3584.0,13,,0.8765283823013306,,,4.929964065551758,5.806491851806641,,,,0.7697154879570007,,,,5.806491851806641,,,,,,,,,,,
